
[TILE_SET]
#id	filePath	num_rows	num_cols
1900	scenes\1-4-pipe\tileset.png	4	11
[MAP_MATRIX]
1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,4,5,6,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,7,8,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,9,10,11,3,3,3,12,13,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,14,3,15,3,3,3,16,17,3,3,3,3,3,3
1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,14,9,10,11,3,3,18,19,3,3,3,3,3,3
1,1,1,20,21,22,1,1,1,1,1,2,3,3,3,3,3,14,3,3,15,3,3,3,3,3,3,3,9,10,11
1,1,1,23,24,25,22,26,27,28,1,2,3,3,3,3,3,14,3,9,10,11,3,3,3,3,3,3,14,3,15
29,30,31,32,33,34,35,36,37,38,1,2,3,3,3,3,9,10,11,3,3,15,3,3,3,3,3,9,10,11,15
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
